time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-29T00:21:10.280Z,-35.5494,-103.8896,10,5.2,mb,,67,9.598,0.55,us,us10006tpd,2016-09-29T11:57:26.000Z,"Southeast of Easter Island",earthquake,11,1.9,0.032,314,reviewed,us,us
2016-09-28T23:49:33.620Z,15.774,147.4551,10,5,mb,,80,1.685,0.72,us,us10006tnw,2016-09-29T00:08:16.040Z,"192km ENE of Saipan, Northern Mariana Islands",earthquake,4.1,1.9,0.077,54,reviewed,us,us
2016-09-28T22:12:13.240Z,-0.0472,-17.7364,10,4.9,mb,,58,8.525,0.65,us,us10006tn0,2016-09-28T22:31:10.040Z,"North of Ascension Island",earthquake,9.9,1.8,0.06,89,reviewed,us,us
2016-09-28T20:37:00.100Z,-21.8458,-179.3803,571.09,5,mb,,58,4.741,1.03,us,us10006tls,2016-09-28T20:50:21.040Z,"150km SSW of Ndoi Island, Fiji",earthquake,10.9,8.9,0.105,30,reviewed,us,us
2016-09-28T16:48:55.510Z,12.4456,-86.5337,7.5,5.5,mww,,89,0.169,0.65,us,us10006tk4,2016-09-30T16:28:42.256Z,"19km NE of La Paz Centro, Nicaragua",earthquake,5.5,1.9,,,reviewed,us,us
2016-09-28T16:32:57.510Z,43.9989,148.4404,43.02,4.8,mb,,114,4.216,0.9,us,us10006tjx,2016-09-28T16:49:48.040Z,"139km E of Shikotan, Russia",earthquake,10.1,7,0.051,120,reviewed,us,us
2016-09-28T16:31:29.440Z,-20.7309,-173.5164,10,5,mb,,80,3.757,1.48,us,us10006tk0,2016-09-29T00:12:28.040Z,"134km SE of Pangai, Tonga",earthquake,9.7,1.9,0.094,36,reviewed,us,us
2016-09-28T16:16:12.520Z,-11.2113,166.3494,122.21,4.8,mb,,43,6.54,0.75,us,us10006tjk,2016-09-28T16:35:36.040Z,"78km SE of Lata, Solomon Islands",earthquake,4.1,7.4,0.052,114,reviewed,us,us
2016-09-28T12:50:34.170Z,20.9656,144.5539,44.61,5,mb,,112,5.813,0.74,us,us10006tit,2016-09-28T13:09:58.040Z,"59km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,8.9,7.8,0.041,188,reviewed,us,us
2016-09-28T09:41:17.800Z,-6.8804,-12.6309,10,4.9,mb,,60,2.008,1.38,us,us10006thz,2016-09-28T10:08:43.040Z,"228km ENE of Georgetown, Saint Helena",earthquake,8.3,1.9,0.069,82,reviewed,us,us
2016-09-28T09:38:12.310Z,24.4737,122.7606,91.58,4.8,mb,,59,0.228,0.67,us,us10006thy,2016-09-28T22:30:59.420Z,"24km W of Yonakuni, Japan",earthquake,6.5,3.5,0.077,52,reviewed,us,us
2016-09-28T07:17:32.280Z,36.7573,21.9434,10,5,mb,,66,0.42,1.41,us,us10006th7,2016-09-30T06:37:54.177Z,"4km S of Koroni, Greece",earthquake,4.3,1.9,0.082,47,reviewed,us,us
2016-09-27T20:57:07.620Z,36.386,27.5853,83.3,5.2,mwr,,,,0.95,us,us10006td4,2016-09-29T16:45:22.430Z,"30km NW of Emponas, Greece",earthquake,4.6,1,0.071,19,reviewed,isk,us
2016-09-27T20:39:01.060Z,11.7566,-85.9441,181.42,4.9,mb,,97,0.74,0.78,us,us10006tcy,2016-09-28T17:06:58.742Z,"11km E of Nandaime, Nicaragua",earthquake,6.2,4.6,0.054,109,reviewed,us,us
2016-09-27T19:22:25.710Z,34.6372,141.6413,24.44,4.6,mb,,128,1.982,0.79,us,us10006tc0,2016-09-28T14:51:47.040Z,"133km ESE of Ohara, Japan",earthquake,7,5.8,0.078,49,reviewed,us,us
2016-09-27T17:59:00.860Z,2.3578,126.3192,74.19,4.6,mb,,93,1.891,1.1,us,us10006tas,2016-09-28T14:44:12.040Z,"161km NE of Bitung, Indonesia",earthquake,7.6,7.4,0.076,51,reviewed,us,us
